,author,statement,source,date,target,BinaryTarget,BinaryNumTarget
0,Tom Kertscher,"“If I don’t take the vaccine, I’m at risk for covid. If I do take the vaccine, I’m still at risk for covid PLUS I’m at risk for permanent vaccine side effects. Therefore I’m reducing my risk by not taking the vaccine. That’s the real science.”",Facebook posts,"March 31, 2021",false,FAKE,0
1,Jon Greenberg,Calls COVID-19 vaccine a “non-FDA-approved experimental agent.”,Instagram posts,"March 31, 2021",barely-true,FAKE,0
2,Gabrielle Settles,A map shows “all the cargo ships backed up by the Suez Canal. Get ready for shortages and prices to skyrocket.”,Facebook posts,"March 31, 2021",false,FAKE,0
3,Noah Y.,Says H.R. 1 gives immigrants illegally in the country “the right to vote.”,Instagram posts,"• March 31,",false,FAKE,0
4,Andy Nguyen,"“From Europe: 3,964 people have died from adverse drug reactions for COVID-19 ‘vaccines’ – 162,610 injuries.”",Bloggers,"March 31, 2021",false,FAKE,0
5,Louis Jacobson,"If the voting bill H.R. 1 is passed, “absentee ballots would be mailed out to anyone without proof of the voter’s identity.”",Facebook posts,"March 31, 2021",false,FAKE,0
6,Amy Sherman,U.S. Rep. Matt Gaetz was the lone vote in the House against an anti-human trafficking bill.,Facebook posts,"March 31, 2021",true,REAL,1
7,Madison Czopek,Video says COVID-19 vaccines are “weapons of mass destruction” that “could wipe out the human race.”,Facebook posts,"March 31, 2021",pants-fire,FAKE,0
8,Michael Majchrowicz,Image of expansive pit shows a lithium mine.,Viral image,"March 31, 2021",false,FAKE,0
9,Samantha Putterman,Says Ben Shapiro said on Twitter that his “red pill moment” was sharing cupcakes with poor kids.,Facebook posts,"March 31, 2021",pants-fire,FAKE,0
10,Tom Kertscher,"“Joe Biden puts pro-life groups on domestic extremist list, calls pro-life people ‘violent.’”",Facebook posts,"March 31, 2021",barely-true,FAKE,0
11,Amy Sherman,Georgia’s new voting law “makes it a JAIL-TIME CRIME to drop off grandma’s absentee ballot in a dropbox.”,Facebook posts,"March 30, 2021",false,FAKE,0
12,Jon Greenberg,Says Deborah Birx “traveled a great distance to see her family for Thanksgiving — only to have them call the police and turn her in. She then ... resigned.”,Donald Trump,"March 30, 2021",half-true,FAKE,0
13,Tom Kertscher,"“Minority farmers get big bonus, white ones get none,” because of Democrats.",Facebook posts,"March 30, 2021",half-true,FAKE,0
14,Samantha Putterman,The ship that was stuck in the Suez Canal was a planned or staged event.,Instagram posts,"March 30, 2021",false,FAKE,0
15,Bill McCarthy,"Says Rachel Levine was Time magazine's ""Woman of the Year.""",Facebook posts,"March 30, 2021",false,FAKE,0
16,Noah Y.,Nostradamus predicted that a “feeble man” would rule the “Western World” after a time of “plague.”,Facebook posts,"• March 30,",pants-fire,FAKE,0
17,Madison Czopek,Says Sen. Cory Booker wants to require a federal license for gun owners but criticizes voter ID laws as discriminatory.,Viral image,"March 30, 2021",mostly-true,FAKE,0
18,Eric Litke,"Judge Jeff Davis ""spent years defending a convicted cop killer"" and ""tried to get him off the hook.""",Shelley Grogan,"March 30, 2021",half-true,FAKE,0
19,Warren Fiske,“There is no discernible difference between the spread and deaths of COVID in Virginia than there is in Florida.”,Pete Snyder,"March 30, 2021",false,FAKE,0
20,Tom Kertscher,"“Less than 500 people a year killed by all rifles combined” and “4,000 a year killed by illegals.”",Facebook posts,"March 30, 2021",barely-true,FAKE,0
21,Tom Kertscher,"Says the suspected Boulder mass shooter is a Muslim ""who entered illegally from Mexico and purchased the firearm from a guy that sells stolen guns.""",Facebook posts,"March 30, 2021",barely-true,FAKE,0
22,Bill McCarthy,“Toxicology report was made public by the MN prosecution revealing the cause of George Floyd’s death was a fentanyl overdose.”,Facebook posts,"March 30, 2021",false,FAKE,0
23,Gabrielle Settles,"Says Jimmy Kimmel, Jimmy Fallon and Stephen Colbert are “still not doing Biden jokes.""",Facebook posts,"March 30, 2021",false,FAKE,0
24,Samantha Putterman,Says Google Earth blocked people from seeing the Suez Canal.,Facebook posts,"March 29, 2021",false,FAKE,0
25,Miriam Valverde,“We spent billions on a border wall and quit when it was 90% finished.”,Facebook posts,"March 29, 2021",barely-true,FAKE,0
26,Amy Sherman,A Georgia law has not “criminalized giving people bottles of water.” It pertains to political organizations.,Josh Holmes,"March 29, 2021",barely-true,FAKE,0
27,Louis Jacobson,"""There are 43 states that have now passed voter suppression laws.""",James Clyburn,"March 29, 2021",false,FAKE,0
28,Paul Specht,"""Joe Biden forced the U.S. Attorney for the Eastern District of North Carolina to resign after 24 people were charged with election fraud and the Mainstream Media never even batted an eyelash.""",Tweets,"March 29, 2021",barely-true,FAKE,0
29,Noah Y.,Nike and Lil Nas X are launching “demonic shoes” containing human blood.,Facebook posts,"• March 29,",half-true,FAKE,0
